date;close
19/08/2021;3184,74
20/08/2021;3286,50
21/08/2021;3226,59
22/08/2021;3241,65
23/08/2021;3322,71
24/08/2021;3172,57
25/08/2021;3228,86
26/08/2021;3093,62
27/08/2021;3275,87
28/08/2021;3246,78
29/08/2021;3225,30
30/08/2021;3228,46
31/08/2021;3435,17
1/09/2021;3829,18
2/09/2021;3787,70
3/09/2021;3939,79
4/09/2021;3887,01
5/09/2021;3952,33
6/09/2021;3928,40
7/09/2021;3433,48
8/09/2021;3499,69
9/09/2021;3424,24
10/09/2021;3209,41
11/09/2021;3266,43
12/09/2021;3405,32
13/09/2021;3285,40
14/09/2021;3436,05
15/09/2021;3615,22
16/09/2021;3569,26
17/09/2021;3398,82
18/09/2021;3435,76
19/09/2021;3328,85
20/09/2021;2966,51
21/09/2021;2760,20
22/09/2021;3078,88
23/09/2021;3154,62
24/09/2021;2930,86
25/09/2021;2925,34
26/09/2021;3064,21
27/09/2021;2927,73
28/09/2021;2807,44
29/09/2021;2850,87
30/09/2021;3000,83
1/10/2021;3310,63
2/10/2021;3389,48
3/10/2021;3420,14
4/10/2021;3384,50
5/10/2021;3516,09
6/10/2021;3576,08
7/10/2021;3588,12
8/10/2021;3562,84
9/10/2021;3576,40
10/10/2021;3416,49
11/10/2021;3544,14
12/10/2021;3490,61
13/10/2021;3607,55
14/10/2021;3791,23
15/10/2021;3868,16
16/10/2021;3829,61
17/10/2021;3846,66
18/10/2021;3746,14
19/10/2021;3877,45
20/10/2021;4162,49
21/10/2021;4062,76
22/10/2021;3971,95
23/10/2021;4168,96
24/10/2021;4082,08
25/10/2021;4220,26
26/10/2021;4129,95
27/10/2021;3924,31
28/10/2021;4288,22
29/10/2021;4417,40
30/10/2021;4323,94
31/10/2021;4290,10
1/11/2021;4322,79
2/11/2021;4593,15
3/11/2021;4604,40
4/11/2021;4536,99
5/11/2021;4480,09
6/11/2021;4521,41
7/11/2021;4617,13
8/11/2021;4810,97
9/11/2021;4732,07
10/11/2021;4632,98
11/11/2021;4722,68
12/11/2021;4668,70
13/11/2021;4645,64
14/11/2021;4627,50
15/11/2021;4561,38
16/11/2021;4210,14
17/11/2021;4289,75
18/11/2021;3998,17
19/11/2021;4299,27
20/11/2021;4415,72
21/11/2021;4264,61
22/11/2021;4090,46
23/11/2021;4341,17
24/11/2021;4271,96
25/11/2021;4523,80
26/11/2021;4042,55
27/11/2021;4100,30
28/11/2021;4297,92
29/11/2021;4448,49
30/11/2021;4631,10
1/12/2021;4587,74
2/12/2021;4514,80
3/12/2021;4219,32
4/12/2021;4124,26
5/12/2021;4201,09
6/12/2021;4357,17
7/12/2021;4309,70
8/12/2021;4439,98
9/12/2021;4111,92
10/12/2021;3902,49
11/12/2021;4088,68
12/12/2021;4135,31
13/12/2021;3785,08
14/12/2021;3862,18
15/12/2021;4020,19
16/12/2021;3957,03
17/12/2021;3876,37
18/12/2021;3961,96
19/12/2021;3924,55
20/12/2021;3945,57
21/12/2021;4017,70
22/12/2021;3981,26
23/12/2021;4112,35
24/12/2021;4047,87
